Date & Time, Temp *C, Humidity % ,Air Quality, Water Level
[2019-12-03 11:24:54.919] ,30,45,37,39
[2019-12-03 11:24:56.445] ,30,46,35,36
[2019-12-03 11:24:57.965] ,30,46,35,36
[2019-12-03 11:24:59.482] ,30,45,38,39
[2019-12-03 11:25:01.016] ,30,46,36,37
[2019-12-03 11:25:02.543] ,30,45,34,35
[2019-12-03 11:25:04.067] ,30,46,38,38
[2019-12-03 11:25:05.588] ,30,45,36,38
[2019-12-03 11:25:07.115] ,30,46,34,35
[2019-12-03 11:25:08.630] ,30,45,38,39
[2019-12-03 11:25:10.162] ,30,46,36,37
[2019-12-03 11:25:11.675] ,30,46,35,36
[2019-12-03 11:25:13.213] ,30,46,38,39
[2019-12-03 11:25:14.726] ,30,46,34,35
[2019-12-03 11:25:16.255] ,30,46,37,38
[2019-12-03 11:25:17.773] ,30,46,36,36
[2019-12-03 11:25:19.299] ,30,46,35,36
[2019-12-03 11:25:20.823] ,30,46,36,37
[2019-12-03 11:25:22.348] ,30,46,36,37
[2019-12-03 11:25:23.866] ,30,46,33,35
[2019-12-03 11:25:25.395] ,30,46,37,38
[2019-12-03 11:25:26.917] ,30,46,36,37
[2019-12-03 11:25:28.443] ,30,46,34,35
[2019-12-03 11:25:29.976] ,30,46,35,36
[2019-12-03 11:25:31.501] ,30,46,37,39
[2019-12-03 11:25:33.025] ,30,46,35,36
[2019-12-03 11:25:34.537] ,30,46,34,35
[2019-12-03 11:25:36.063] ,30,46,36,38
[2019-12-03 11:25:37.593] ,30,45,37,37
[2019-12-03 11:25:39.120] ,30,46,33,34
[2019-12-03 11:25:40.634] ,30,46,37,38
[2019-12-03 11:25:42.167] ,30,46,35,36
[2019-12-03 11:25:43.683] ,30,46,35,36
[2019-12-03 11:25:45.205] ,30,46,36,38
[2019-12-03 11:25:46.740] ,30,46,34,35
[2019-12-03 11:25:48.266] ,30,46,38,39
[2019-12-03 11:25:49.788] ,30,46,33,35
[2019-12-03 11:25:51.308] ,30,46,38,38
[2019-12-03 11:25:52.831] ,30,46,33,35
[2019-12-03 11:25:54.358] ,30,46,37,38
[2019-12-03 11:25:55.879] ,30,46,34,35
[2019-12-03 11:25:57.395] ,30,46,38,39
[2019-12-03 11:25:58.933] ,30,46,33,35
[2019-12-03 11:26:00.460] ,30,46,37,39
[2019-12-03 11:26:01.983] ,30,46,35,36
[2019-12-03 11:26:03.501] ,30,46,37,38
[2019-12-03 11:26:05.030] ,30,46,35,36
[2019-12-03 11:26:06.554] ,30,46,34,36
[2019-12-03 11:26:08.078] ,30,46,37,38
[2019-12-03 11:26:09.589] ,30,46,34,35
[2019-12-03 11:26:11.119] ,30,46,38,39
[2019-12-03 11:26:12.642] ,30,46,34,35
[2019-12-03 11:26:14.169] ,30,46,37,39
[2019-12-03 11:26:15.686] ,30,46,33,35
[2019-12-03 11:26:17.224] ,30,46,38,39
[2019-12-03 11:26:18.742] ,30,46,33,35
[2019-12-03 11:26:20.262] ,30,46,37,39
[2019-12-03 11:26:21.789] ,30,46,33,34
[2019-12-03 11:26:23.313] ,30,46,37,38
[2019-12-03 11:26:24.834] ,30,46,34,35
[2019-12-03 11:26:26.354] ,30,46,37,38
[2019-12-03 11:26:27.879] ,30,46,34,35
[2019-12-03 11:26:29.409] ,30,46,37,38
[2019-12-03 11:26:30.931] ,30,46,34,35
[2019-12-03 11:26:32.460] ,30,46,38,39
[2019-12-03 11:26:33.988] ,30,46,34,35
[2019-12-03 11:26:35.503] ,30,46,35,37
[2019-12-03 11:26:37.035] ,30,46,36,37
[2019-12-03 11:26:38.547] ,30,46,35,35
[2019-12-03 11:26:40.082] ,30,46,38,39
[2019-12-03 11:26:41.605] ,30,46,35,36
[2019-12-03 11:26:43.130] ,30,46,35,36
[2019-12-03 11:26:44.649] ,30,46,37,38
[2019-12-03 11:26:46.179] ,30,46,34,35
[2019-12-03 11:26:47.700] ,30,46,36,38
[2019-12-03 11:26:49.228] ,30,46,34,36
[2019-12-03 11:26:50.750] ,30,46,35,36
[2019-12-03 11:26:52.275] ,30,46,37,38
[2019-12-03 11:26:53.795] ,30,46,34,35
[2019-12-03 11:26:55.311] ,30,46,37,38
[2019-12-03 11:26:56.838] ,30,46,33,35
[2019-12-03 11:26:58.357] ,30,46,38,39
[2019-12-03 11:26:59.895] ,30,46,37,38
[2019-12-03 11:27:01.418] ,30,46,40,42
[2019-12-03 11:27:02.937] ,30,46,39,40
[2019-12-03 11:27:04.458] ,30,46,39,41
[2019-12-03 11:27:05.992] ,30,46,40,41
[2019-12-03 11:27:07.508] ,30,46,47,47
[2019-12-03 11:27:09.040] ,30,46,49,50
[2019-12-03 11:27:10.562] ,30,46,45,45
[2019-12-03 11:27:12.086] ,30,46,26,27
[2019-12-03 11:27:13.610] ,30,46,25,26
[2019-12-03 11:27:15.127] ,30,46,29,31
[2019-12-03 11:27:17.055] ,30,46,26,27
[2019-12-03 11:27:18.608] ,30,46,26,27
[2019-12-03 11:27:19.811] ,30,46,27,28
[2019-12-03 11:27:21.231] ,30,46,24,25
[2019-12-03 11:27:23.746] ,30,46,31,32
[2019-12-03 11:27:24.278] ,30,46,28,29
[2019-12-03 11:27:25.802] ,30,46,27,28
[2019-12-03 11:27:27.317] ,30,46,32,33
[2019-12-03 11:27:28.840] ,30,46,27,28
[2019-12-03 11:27:30.361] ,30,46,25,26
[2019-12-03 11:27:31.889] ,30,46,30,30
[2019-12-03 11:27:33.413] ,30,46,25,26
[2019-12-03 11:27:34.949] ,30,46,30,31
[2019-12-03 11:27:36.464] ,30,46,23,24
[2019-12-03 11:27:37.997] ,30,46,36,37
[2019-12-03 11:27:39.514] ,30,46,30,31
[2019-12-03 11:27:41.044] ,30,46,33,33
[2019-12-03 11:27:42.556] ,30,46,37,38
